0,CombatZoneResize,241,226,406,371,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,1,,,,,,,
0,SANSHEAD,ANGER,,,,,,,
1,Zakeya Red Eyes Dizzy,355,52,,,,,,,,,
0,Zakeya Red Eyes Dizzy,355,52,,,,,,,,,
1,BoneStab,3,40,0,1,,,,
0,BoneStab,0,20,0.4,1,,,,
0,BoneStab,2,120,0.4,1,,,,
0.8,BoneV,383.5,236,135,0,0,,,
0,BoneV,353.5,236,135,0,0,,,
0,sound,Slam,,,,,,,
0.4,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,383.5,236,135,2,20,,,
0,BoneV,353.5,236,135,2,20,,,
0,BoneV,393.5,236,135,2,20,,,
0,BoneV,343.5,236,135,2,20,,,
0,BoneV,403.5,236,135,2,20,,,
0,BoneV,333.5,236,135,2,20,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,sound,bonevv-speed,,,,,,,
0,BoneV,238.5,236,135,0,0,,,
0,BoneV,268.5,236,135,0,0,,,
0,BoneV,228.5,236,135,0,0,,,
0,BoneV,278.5,236,135,0,0,,,
0,BoneV,218.5,236,135,0,0,,,
0,BoneV,288.5,236,135,0,0,,,
0.2,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneV,238.5,236,135,0,20,,,
0,BoneV,268.5,236,135,0,20,,,
0,BoneV,228.5,236,135,0,20,,,
0,BoneV,273.5,236,135,0,20,,,
0,BoneV,218.5,236,135,0,20,,,
0,BoneV,283.5,236,135,0,20,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,BoneStab,3,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.2,SansBody,Handdown,,,,,,,
0,SansSlam,1,,,,,,,
0,BoneStab,1,20,0.2,0.3,,,,
0.4,SansAnimation,Idle,,,,,,,
0.4,EndAttack,,,,,,,,
