0,CombatZoneResize,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,1,,,,,,,
0,SansHead,default,,,,,,,
0.5,BoneV,410,370,15,2,233,,,
0,BoneV,425,360,25,2,233,,,
0,BoneV,440,350,35,2,233,,,
0,BoneV,455,340,45,2,233,,,
0,BoneV,470,330,55,2,233,,,
0,BoneV,485,330,55,2,233,,,
0,BoneV,500,340,45,2,233,,,
0,BoneV,515,350,35,2,233,,,
0,BoneV,530,360,25,2,233,,,
0,BoneV,545,370,15,2,233,,,
1,BoneV,410,370,15,2,230,,,
0,BoneV,425,360,25,2,230,,,
0,BoneV,440,350,35,2,230,,,
0,BoneV,455,340,45,2,230,,,
0,BoneV,470,330,55,2,230,,,
0,BoneV,485,330,55,2,230,,,
0,BoneV,500,340,45,2,230,,,
0,BoneV,515,350,35,2,230,,,
0,BoneV,530,360,25,2,230,,,
0,BoneV,545,370,15,2,230,,,
1,BoneV,410,370,15,2,250,,,
0,BoneV,425,360,25,2,250,,,
0,BoneV,440,350,35,2,250,,,
0,BoneV,455,340,45,2,250,,,
0,BoneV,470,330,55,2,250,,,
0,BoneV,485,330,55,2,250,,,
0,BoneV,500,340,45,2,250,,,
0,BoneV,515,350,35,2,250,,,
0,BoneV,530,360,25,2,250,,,
0,BoneV,545,370,15,2,250,,,
1.2,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,Gasterblaster,1,-361,-347,189,176,45,0.3,0.5
0,Gasterblaster,1,1004,-347,454,176,135,0.3,0.5
0,Gasterblaster,1,-361,991,189,441,315,0.3,0.5
0,Gasterblaster,1,1004,991,454,441,225,0.3,0.5
0.7,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,Gasterblaster,1,189,176,189,308,0,0.2,0.2
0,Gasterblaster,1,454,176,321,176,90,0.2,0.2
0,Gasterblaster,1,189,441,321,441,270,0.2,0.2
0,Gasterblaster,1,454,441,454,308,180,0.2,0.2
0.2,BoneStab,1,30,0,0.2,,,,
0,BoneStab,3,30,0,0.2,,,,
0,BoneStab,2,30,0,0.2,,,,
1.6,SET,Loop,1,,,,,,
0,:RndAttack,,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,:Attack0,,,,,,,,
0,SansBody,HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,SansBody,HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,SansBody,HandUp,,,,,,,
0,SansSlam,3,,,,,,,
0,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0.9,BoneStab,0,45,0,0.2333,,,,
0,BoneStab,1,45,0,0.2333,,,,
0,BoneStab,2,45,0,0.2333,,,,
0,BoneStab,3,45,0,0.2333,,,,
0.3,HeartMode,1,,,,,,,
0,CombatZoneSpeed,50,,,,,,,
0,CombatZoneResize,191,251,456,391,,,,
0.3,SansAnimation,Idle,,,,,,,
0.2,BoneV,128,366,20,0,700,1,,
0,BoneV,503,366,20,2,700,1,,
0.5,BoneVRepeat,128,257,110,0,700,7,15,
0,BoneVRepeat,503,257,110,2,700,7,15,
0.5,BoneV,128,296,90,0,500,2,,
0,BoneV,503,296,90,2,500,2,,
0.5,BoneV,128,296,90,0,500,1,,
0,BoneV,503,296,90,2,500,1,,
0.5,BoneV,128,366,20,0,500,,,
0,BoneV,503,366,20,2,500,,,
0.5,BoneV,128,356,30,0,500,,,
0,BoneV,503,356,30,2,500,,,
0.4,BoneStab,0,55,0,0.5,,,,
0,BoneStab,2,55,0,0.5,,,,
0,BoneV,121,150,450,0,333,2,,
0,BoneV,526,150,450,2,333,2,,
0,CombatZoneSpeed,480,,,,,,,
1.5,BoneVRepeat,221,231,105,0,300,0,5,390
0,BoneVRepeat,221,356,30,0,300,0,5,390
0,BoneVRepeat,411,231,105,2,300,0,5,390
0,BoneVRepeat,411,356,30,2,300,0,5,390
0,BoneVRepeat,206,231,105,0,300,0,5,390
0,BoneVRepeat,206,356,30,0,300,0,5,390
0,BoneVRepeat,426,231,105,2,300,0,5,390
0,BoneVRepeat,426,356,30,2,300,0,5,390
0,BoneVRepeat,191,231,108,0,300,0,5,390
0,BoneVRepeat,191,359,27,0,300,0,5,390
0,BoneVRepeat,441,231,108,2,300,0,5,390
0,BoneVRepeat,441,359,27,2,300,0,5,390
5,EndAttack,,,,,,,,
