0,CombatZoneResize,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,RND,A,4,,,,,,
0,RND,B,4,,,,,,
0,RND,C,4,,,,,,
0,RND,D,4,,,,,,
0,RND,E,4,,,,,,
0,RND,F,4,,,,,,
0,RND,G,4,,,,,,
0,RND,H,4,,,,,,
0.5,BoneStab,$A,85,1,0,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneStab,$B,85,1,0,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneStab,$C,85,1,0,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneStab,$D,85,1,0,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,BoneStab,$E,85,1,0,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0.8,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
1.55,BoneStab,$A,85,0,0.25,,,,
1.35,BoneStab,$B,85,0,0.25,,,,
1.35,BoneStab,$C,85,0,0.25,,,,
1.35,BoneStab,$D,85,0,0.25,,,,
1.35,BoneStab,$E,85,0,0.25,,,,
1.35,BoneStab,0,35,0,0.25,,,,
0,BoneStab,1,35,0,0.25,,,,
0,BoneStab,2,35,0,0.25,,,,
0,BoneStab,3,35,0,0.25,,,,
0.75,EndAttack,,,,,,,,
