0,CombatZoneResize,131,186,526,391,,
0,CombatZoneSpeed,1000,,,,,
0,HeartTeleport,330,314,,,,
0,HeartMode,0,,,,,
0,SET,Loop,4,,,,,,,,,
0,SET,X,174,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,
0,SET,Ang,65,,,,,,,,,
0,RND,jia,71,,,,,,,,,
0,ADD,Ang,$Ang,$jia,,,,,,,,
0,ADD,Ang2,$Ang,90,,,,,,,,
0,BoneVVRepeat,$X,200,20,$Ang,75,0,0,$Ang2,0,25,75
0,ADD,X,$X,50,,,,,,,,
0,SET,Ang,-65,,,,,,,,,
0,RND,jia,71,,,,,,,,,
0,SUB,Ang,$Ang,$jia,,,,,,,,
0,ADD,Ang2,$Ang,90,,,,,,,,
0,BoneVVRepeat,$X,407,20,$Ang,75,0,0,$Ang2,0,25,75
0,ADD,X,$X,50,,,,,,,,
0,JMPNZ,7,$Loop,,,,,,,,,
0.5,SET,xunhuan,25,,,,,,,,
0,SUB,xunhuan,$xunhuan,1,,,,,,,
0,SET,TY,211,,,,,,,,
0,RND,JII,5,,,,,,,,
0,SET,TII,40,,,,,,,,
0,MUL,TII,$TII,$JII,,,,,,,
0,ADD,TY,$TY,$TII,,,,,,,
0,SET,TX,141,,,,,,,,
0,RND,JII2,366,,,,,,,,
0,ADD,TX,$TX,$JII2,,,,,,,
0,SET,TX2,141,,,,,,,,
0,RND,JII3,366,,,,,,,,
0,ADD,TX2,$TX2,$JII3,,,,,,,
0,GasterBlaster2,0,320,0,$TX2,126,90,0.16666,150,2,0,
0,GasterBlaster,0,320,0,$TX,126,90,0.7,0.1666,0,0
0,GasterBlaster,0,61,0,61,$TY,0,0.7,0.1666,0,0
0,SET,TY,211,,,,,,,,
0,RND,JII,5,,,,,,,,
0,SET,TII,40,,,,,,,,
0,MUL,TII,$TII,$JII,,,,,,,
0,ADD,TY,$TY,$TII,,,,,,,
0,SET,TX,141,,,,,,,,
0,RND,JII2,366,,,,,,,,
0,ADD,TX,$TX,$JII2,,,,,,,
0,SET,TX2,141,,,,,,,,
0,RND,JII3,366,,,,,,,,
0,ADD,TX2,$TX2,$JII3,,,,,,,
0.566,GasterBlaster,0,320,0,$TX2,126,90,0.7,0.1666,0,0
0,GasterBlaster2,0,320,0,$TX,126,90,0.16666,150,1,0,
0,GasterBlaster,0,586,0,586,$TY,180,0.7,0.1666,1,0
0.400,JMPNZ,22,$xunhuan,,,,,,,,
3,EndAttack,,,,,,,,
