0,CombatZoneResizeInstant,241,226,406,391,,,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,
0,DamagePlayer,-999,,,,
0,Sound,playerheal,,,,,
0,SansHead,Default,,,,,
0,HeartMode,1,,,,,,
0.5,GasterBlaster,2,499,300,499,300,180,0,0.2,1st
0,GasterBlaster,2,139,300,139,300,0,0.03333,0.2,RightBlast
0,GasterBlaster,2,499,250,499,250,180,0.06666,0.2,2nd
0,GasterBlaster,2,139,250,139,250,0,0.1,0.2,RightBlast
0,GasterBlaster,2,499,200,499,200,180,0.13333,0.2,3rd
0,GasterBlaster,2,139,200,139,200,0,0.16666,0.2,RightBlast
0,GasterBlaster,2,139,384,139,384,0,0.53333,0.2,1st
0,GasterBlaster,2,499,384,499,384,180,0.56666,0.2,LeftBlast
0,GasterBlaster,2,139,434,139,434,0,0.6,0.2,2nd
0,GasterBlaster,2,499,434,499,434,180,0.63333,0.2,LeftBlast
0,GasterBlaster,2,139,484,139,484,0,0.66666,0.2,3rd
0,GasterBlaster,2,499,484,499,484,180,0.7,0.2,LeftBlast
0.9,BlackScreen,1,,,,,
0,Sound,FLash,,,,,,,
0.1,BlackScreen,0,,,,,,,
0,Sound,FLash,,,,,,,,
0,HeartTeleport,300,260,,,,,,,
0,SansSlam,3,,,,,,
0,GasterBlaster,2,499,170,499,170,180,0.7,0.2,1st
0,GasterBlaster,2,139,170,139,170,0,0.66666,0.2,RightBlast
0,GasterBlaster,2,499,250,499,250,180,0.63333,0.2,2nd
0,GasterBlaster,2,139,250,139,250,0,0.6,0.2,RightBlast
0,GasterBlaster,2,499,200,499,200,180,0.56666,0.2,3rd
0,GasterBlaster,2,139,200,139,200,0,0.53333,0.2,RightBlast
0,GasterBlaster,2,139,384,139,384,0,0.16666,0.2,1st
0,GasterBlaster,2,499,384,499,384,180,0.13333,0.2,LeftBlast
0,GasterBlaster,2,139,434,139,434,0,0.2,0.2,2nd
0,GasterBlaster,2,499,434,499,434,180,0.06666,0.2,LeftBlast
0,GasterBlaster,2,139,484,139,484,0,0.03333,0.2,3rd
0,GasterBlaster,2,499,484,499,484,180,0,0.2,LeftBlast
0.9,BlackScreen,1,,,,,,,,
0,Sound,Flash,,,,,,,,
0.1,BlackScreen,0,,,,,,,,
0,Sound,Flash,,,,,,,,
0,HeartTeleport,255,240,,,,,,,
0,SansSlam,3,,,,,,,,
0,GasterBlaster,2,139,315,139,315,0,0,0.2,1st L
0,GasterBlaster,2,325,484,325,484,270,0,0.2,1st U
0,GasterBlaster,2,499,315,499,315,180,0.03333,0.2,1st LP
0,GasterBlaster,2,325,133,325,133,90,0.03333,0.2,1st UP
0,GasterBlaster,2,139,365,139,365,0,0.06666,0.2,2nd L
0,GasterBlaster,2,375,484,375,484,270,0.06666,0.2,2nd U
0,GasterBlaster,2,499,365,499,365,180,0.1,0.2,2nd LP
0,GasterBlaster,2,375,133,375,133,90,0.1,0.2,2nd UP
0,GasterBlaster,2,139,415,139,415,0,0.13333,0.2,3rd L
0,GasterBlaster,2,425,484,425,484,270,0.13333,0.2,3rd U
0,GasterBlaster,2,499,415,499,415,180,0.16666,0.2,3rd LP
0,GasterBlaster,2,425,133,425,133,90,0.16666,0.2,3rd UP
0,GasterBlaster,2,499,230,499,230,180,0.53333,0.2,1st R
0,GasterBlaster,2,240,133,240,133,90,0.53333,0.2,1st D
0,GasterBlaster,2,139,230,139,230,0,0.56666,0.2,1st RP
0,GasterBlaster,2,240,484,240,484,270,0.56666,0.2,1st DP
0,GasterBlaster,2,499,180,499,180,180,0.6,0.2,2nd R
0,GasterBlaster,2,190,133,190,133,90,0.6,0.2,2nd D
0,GasterBlaster,2,139,180,139,180,0,0.63333,0.2,2nd RP
0,GasterBlaster,2,190,484,190,484,270,0.63333,0.2,2nd DP
0,GasterBlaster,2,499,130,499,130,180,0.66666,0.2,3rd R
0,GasterBlaster,2,140,133,140,133,90,0.66666,0.2,3rd D
0,GasterBlaster,2,139,130,139,130,0,0.7,0.2,3rd RP
0,GasterBlaster,2,140,484,140,484,270,0.7,0.2,3rd DP
0.9,BlackScreen,1,,,,,,,,
0,Sound,Flash,,,,,,,,
0.1,BlackScreen,0,,,,,,,,
0,Sound,Flash,,,,,,,,
0,HeartTeleport,391,376,,,,,,,
0,SansSlam,0,,,,,,,,
0,GasterBlaster,2,549,300,549,300,180,0,0.2,1st R
0,GasterBlaster,2,310,183,310,183,90,0,0.2,1st D
0,GasterBlaster,2,139,300,139,300,0,0.03333,0.2,1st RP
0,GasterBlaster,2,310,484,310,484,270,0.03333,0.2,1st DP
0,GasterBlaster,2,549,250,549,250,180,0.06666,0.2,2nd R
0,GasterBlaster,2,260,183,260,183,90,0.06666,0.2,2nd D
0,GasterBlaster,2,139,250,139,250,0,0.1,0.2,2nd RP
0,GasterBlaster,2,260,484,260,484,270,0.1,0.2,2nd DP
0,GasterBlaster,2,549,200,549,200,180,0.13333,0.2,3rd R
0,GasterBlaster,2,210,183,210,183,90,0.13333,0.2,3rd D
0,GasterBlaster,2,139,200,139,200,0,0.16666,0.2,3rd RP
0,GasterBlaster,2,210,484,210,484,270,0.16666,0.2,3rd DP
0,GasterBlaster,2,139,383,139,383,0,0.53333,0.2,1st L
